date, pm25, pm10, o3, no2, so2, co
2020/4/21, 39, 9, 34, 8, , 2
2020/4/22, 52, 7, 36, 8, 1, 2
2020/4/23, 40, 8, 37, 8, 1, 2
2020/4/24, 42, 10, 46, 8, 1, 2
2020/4/25, 40, 17, 59, 3, 1, 
2020/4/26, 53, 13, 42, 8, 1, 2
2020/4/27, 34, 14, 37, 12, 1, 3
2020/4/28, 41, 12, 49, 8, 1, 2
2020/4/29, 48, 22, 69, 12, 1, 3
2020/4/30, 62, 21, 47, 5, 1, 2
2020/5/1, 58, 39, 47, 12, 2, 3
2020/5/2, 89, 30, 40, 5, 1, 2
2020/5/3, 84, 11, 34, 7, 1, 2
2020/5/4, 33, 13, 45, 5, 1, 2
2020/5/5, 65, 11, 30, 3, , 1
2020/5/6, 29, 7, 38, 3, , 1
2020/5/7, 58, 8, 42, 9, 1, 2
2020/5/8, 54, 10, 38, 3, , 1
2020/5/9, 31, 7, 32, 1, , 1
2020/5/10, 29, 12, 35, 10, 1, 2
2020/5/11, 57, 15, 49, 9, 1, 2
2020/5/12, 51, 24, 57, 8, 1, 2
2020/5/13, 77, 11, 48, 8, 2, 2
2020/5/14, 60, 13, 45, 11, 1, 2
2020/5/15, 55, 12, 36, 8, 1, 2
2020/5/16, 32, 13, 49, 8, 2, 2
2020/5/17, 63, 15, 30, 10, 1, 2
2020/5/18, 39, 7, 28, 8, , 2
2020/5/19, 12, 8, 20, 6, , 1
2020/5/20, 22, 9, 19, 8, , 1
2020/5/21, 24, 10, 22, 7, , 
2020/5/22, 29, 8, 34, 8, 1, 3
2020/5/23, 38, 10, 43, 7, 1, 2
2020/5/24, 48, 8, 36, 10, 1, 2
2020/5/25, 43, 14, 28, 18, 1, 3
2020/5/26, 41, 16, 48, 10, 1, 2
2020/5/27, 49, 12, 47, 9, 1, 2
2020/5/28, 53, 9, 43, 9, 1, 2
2020/5/29, 57, 12, 41, 10, 1, 2
2020/5/30, 56, 9, 36, 5, 1, 1
2020/5/31, 32, 11, 28, 11, 1, 2
2020/6/1, 26, 18, 26, 13, 2, 4
2020/6/2, 48, 20, 51, 15, 2, 3
2020/6/3, 51, 35, 64, 9, 1, 3
2020/6/4, 78, 29, 55, 12, 1, 2
2020/6/5, 81, 31, 52, 8, 1, 2
2020/6/6, 70, 18, 41, 4, 1, 2
2020/6/7, 74, 17, 52, 10, 1, 2
2020/6/8, 56, 19, 43, 10, 1, 2
2020/6/9, 70, 10, 35, 6, 1, 1
2020/6/10, 57, 9, 17, 4, , 
2020/6/11, 32, 9, 23, 8, 1, 1
2020/6/12, 47, 8, 21, 9, , 1
2020/6/13, 16, 18, 20, 10, 1, 2
2020/6/14, 45, 20, 40, 21, 1, 3
