date, pm25, pm10, o3, no2, so2, co
2017/10/20, 17, 5, 14, 12, , 2
2017/10/21, 15, 4, 24, 5, , 1
2017/10/22, 11, 10, 33, 5, 2, 1
2017/10/23, 37, 10, 24, 9, , 2
2017/10/24, 28, 13, 19, 16, , 3
2017/10/25, 41, 13, 29, 17, , 3
2017/10/26, 42, 18, 26, 22, 2, 4
2017/10/27, 55, 22, 19, 18, 1, 3
2017/10/28, 59, 8, 21, 8, , 2
2017/10/29, 24, 5, 30, 6, 1, 2
2017/10/30, 26, 11, 24, 20, 3, 5
2017/10/31, 35, 14, 12, 28, 2, 4
2017/11/1, 49, 16, 33, 19, 2, 3
2017/11/2, 55, 17, 33, 16, 3, 3
2017/11/3, 52, 18, 30, 15, 2, 3
2017/11/4, 68, 13, 33, 7, 2, 3
2017/11/5, 41, 22, 11, 31, 4, 4
2017/11/6, 69, 27, 16, 34, 5, 5
2017/11/7, 84, 30, 11, 31, 1, 5
2017/11/8, 84, 19, 29, 10, , 4
2017/11/9, 57, 19, 19, 27, 4, 5
2017/11/10, 53, 11, 31, 8, 2, 3
2017/11/11, 59, 6, 29, 6, 2, 1
2017/11/12, 27, 14, 13, 22, 2, 3
2017/11/13, 46, 26, 12, 25, , 5
2017/11/14, 61, 19, 11, 21, 1, 5
2017/11/15, 61, 10, 26, 12, , 3
2017/11/16, 41, 9, 16, 20, 3, 3
2017/11/17, 32, 19, 18, 24, 1, 4
2017/11/18, 55, 6, 26, 6, 2, 3
2017/11/19, 19, 11, 14, 22, 4, 4
2017/11/20, 35, 7, 26, 12, , 3
2017/11/21, 31, 19, 7, 31, , 4
2017/11/22, 57, 15, 25, 15, , 3
2017/11/23, 40, 5, 21, 19, 2, 3
2017/11/24, 28, 8, 12, 30, 3, 5
2017/11/25, 36, 11, 29, 16, 1, 4
2017/11/26, 43, 12, 20, 16, , 3
2017/11/27, 38, 18, 17, 21, , 3
2017/11/28, 52, 28, 11, 40, 6, 6
2017/11/29, 65, 16, 17, 20, 1, 3
2017/11/30, 46, 6, 14, 15, , 2
2017/12/1, 22, 7, 16, 16, , 3
2017/12/2, 24, 15, 21, 18, 1, 4
2017/12/3, 42, 15, 10, 26, , 4
2017/12/4, 53, 10, 20, 26, 3, 4
2017/12/5, 42, 5, 19, 16, , 3
2017/12/6, 29, 12, 10, 30, 2, 4
2017/12/7, 41, 24, 12, 33, 2, 6
2017/12/8, 69, 7, 21, 19, 3, 4
2017/12/9, 28, 12, 23, 20, 2, 4
2017/12/10, 47, 15, 22, 28, , 5
2017/12/11, 54, 4, 22, 15, 2, 2
2017/12/12, 14, 3, 21, 11, , 2
2017/12/13, 20, 4, 24, 10, 2, 2
2017/12/14, 21, 13, 8, 31, 2, 4
2017/12/15, 39, 33, 6, 44, 3, 7
2017/12/16, 82, 14, 27, 12, 1, 5
2017/12/17, 45, 12, 17, 28, 4, 5
2017/12/18, 33, 14, 21, 24, 1, 4
2017/12/19, 58, 9, 17, 25, 2, 4
2017/12/20, 34, 14, 18, 26, 1, 4
2017/12/21, 50, 20, 6, 31, 6, 6
2017/12/22, 59, 23, 18, , 2, 6
2017/12/23, 64, 24, 13, , 4, 5
2017/12/24, 65, 35, 10, , 1, 4
2017/12/25, 51, , , 16, 2, 3
2017/12/26, 36, 3, 23, 10, , 2
2017/12/27, 10, 4, 27, 9, , 2
2017/12/28, 17, 5, 31, 10, 2, 4
2017/12/29, 20, 5, 29, 7, 1, 2
2017/12/30, 21, 9, 20, 12, 1, 3
2017/12/31, 35, 7, 28, 6, 1, 2
2017/7/1, 38, 21, 37, 16, 5, 3
2017/7/2, 48, 34, 57, 21, 3, 4
2017/7/3, 77, 32, 19, 22, 5, 3
2017/7/4, 71, 14, 35, 17, 6, 3
2017/7/5, 41, 12, 40, 11, 3, 2
2017/7/6, 44, 24, 54, 19, 3, 3
2017/7/7, 64, 30, 83, 17, 4, 4
2017/7/8, 77, 31, 59, 11, 3, 3
2017/7/9, 84, 14, 24, 11, 2, 1
2017/7/10, 51, 9, 12, 9, 2, 1
2017/7/11, 43, 17, 17, 9, , 1
2017/7/12, 27, 15, 13, 7, , 1
2017/7/13, 39, 11, 18, 11, 3, 2
2017/7/14, 42, 18, 42, 17, 4, 3
2017/7/15, 48, 30, 73, 19, 4, 4
2017/7/16, 71, 24, 57, 11, 3, 3
2017/7/17, 56, 29, 44, 14, 2, 2
2017/7/18, 60, 24, 54, 20, 4, 4
2017/7/19, 55, 16, 30, 11, 1, 1
2017/7/20, 47, 15, 17, 11, 2, 1
2017/7/21, 46, 11, 13, 7, 2, 1
2017/7/22, 43, 9, 13, 4, , 1
2017/7/23, 20, 13, 22, 9, , 1
2017/7/24, 35, 21, 25, 12, , 2
2017/7/25, 37, 13, 20, 9, , 1
2017/7/26, 25, 10, 28, 8, , 2
2017/7/27, 28, 13, 28, 13, 4, 2
2017/7/28, 42, 22, 16, 11, 2, 2
2017/7/29, 47, 11, 15, 5, 2, 1
2017/7/30, 27, 14, 34, 15, 3, 3
2017/7/31, 63, 19, 23, 11, 2, 1
2017/8/1, 38, 9, 18, 6, , 1
2017/8/2, 28, 10, 21, 13, , 2
2017/8/3, 36, 14, 19, 13, 3, 2
2017/8/4, 40, 20, 40, 16, 3, 3
2017/8/5, 50, 26, 35, 11, 4, 3
2017/8/6, 59, 23, 10, 11, 2, 2
2017/8/7, 43, 30, 45, 9, 2, 2
2017/8/8, 60, 27, 68, 14, 5, 4
2017/8/9, 46, 30, 13, 14, 2, 2
2017/8/10, 48, 12, 12, 5, , 1
2017/8/11, 24, 12, 23, 6, , 2
2017/8/12, 38, 11, 20, 7, 2, 2
2017/8/13, 36, 21, 10, 9, 1, 2
2017/8/14, 34, 11, 12, 8, 1, 2
2017/8/15, 22, 8, 13, 5, , 2
2017/8/16, 14, 10, 19, 8, , 1
2017/8/17, 27, 27, 19, 17, 3, 3
2017/8/18, 49, 25, 24, 14, 2, 3
2017/8/19, 61, 10, 26, 7, 2, 2
2017/8/20, 37, 20, 34, 16, 3, 2
2017/8/21, 49, 24, 23, 13, 2, 3
2017/8/22, 49, 21, 51, 11, 2, 3
2017/8/23, 50, 25, 54, 22, 4, 4
2017/8/24, 69, 38, 58, 21, 3, 4
2017/8/25, 77, 34, 54, 15, 2, 3
2017/8/26, 65, 14, 36, 5, 1, 2
2017/8/27, 39, 17, 41, 13, 3, 3
2017/8/28, 51, 18, 21, 9, , 1
2017/8/29, 48, 27, 24, 13, 2, 2
2017/8/30, 50, 10, 28, 7, , 2
2017/8/31, 19, 7, 32, 6, , 1
2017/9/1, 40, 6, 30, 5, , 1
2017/9/2, 31, 10, 37, 11, 3, 3
2017/9/3, 47, 14, 16, 13, 1, 2
2017/9/4, 34, 14, 31, 13, , 2
2017/9/5, 45, 17, 11, 14, , 2
2017/9/6, 37, , , , , 
2017/9/11, 50, 13, 20, 16, 1, 3
2017/9/12, 27, 9, 35, 15, 4, 2
2017/9/13, 33, 15, 49, 13, 1, 2
2017/9/14, 46, 10, 33, 8, 3, 2
2017/9/15, 32, 10, 24, 7, 1, 2
2017/9/16, 29, 6, 21, 5, , 2
2017/9/17, 19, 15, 39, 9, 2, 2
2017/9/18, 58, 13, 39, 14, 3, 3
2017/9/19, 45, 26, 30, 24, 2, 4
2017/9/20, 63, 16, 45, 14, 7, 4
2017/9/21, 54, 17, 25, 19, 3, 3
2017/9/22, 49, 7, 34, 4, , 2
2017/9/23, 25, 14, 35, 13, 5, 5
2017/9/24, 39, 18, 36, 20, 2, 4
2017/9/25, 57, 19, 36, 19, 3, 3
2017/9/26, 48, 14, 27, 15, 2, 2
2017/9/27, 34, 8, 25, 8, 1, 
2017/9/28, 25, 9, 30, 18, 3, 2
2017/9/29, 35, 16, 28, 18, 1, 3
2017/9/30, 42, 15, 39, 13, 4, 3
2017/4/1, 36, 9, 38, 8, 2, 3
2017/4/2, 36, 11, 34, 18, 3, 3
2017/4/3, 48, 16, 39, 21, 4, 3
2017/4/4, 54, 20, 44, 22, 2, 3
2017/4/5, 60, 17, 39, 15, 1, 2
2017/4/6, 52, 15, 37, 13, , 3
2017/4/7, 36, 12, 21, 19, , 3
2017/4/8, 33, 17, 37, 10, , 3
2017/4/9, 37, 10, 33, 13, 2, 2
2017/4/10, 39, 10, 27, 21, 1, 3
2017/4/11, 41, 7, 41, 13, 1, 3
2017/4/12, 32, 13, 36, 19, 4, 3
2017/4/13, 46, 18, 49, 26, 5, 3
2017/4/14, 61, 21, 53, 15, 2, 3
2017/4/15, 58, 19, 44, 22, 5, 4
2017/4/16, 60, 20, 34, 27, 3, 3
2017/4/17, 63, 13, 37, 14, 2, 2
2017/4/18, 43, 11, 45, 13, 2, 3
2017/4/19, 45, 11, 36, 15, 3, 3
2017/4/20, 39, 17, 36, 29, 5, 4
2017/4/21, 50, 23, 41, 16, 1, 3
2017/4/22, 59, 7, 42, 5, 1, 2
2017/4/23, 43, 10, 35, 18, 2, 3
2017/4/24, 40, 10, 36, 17, 2, 2
2017/4/25, 46, 9, 32, 13, 1, 3
2017/4/26, 33, 8, 39, 12, 2, 2
2017/4/27, 33, 11, 39, 19, 3, 2
2017/4/28, 45, 13, 55, 11, 2, 2
2017/4/29, 55, 14, 60, 12, 3, 3
2017/4/30, 55, 19, 52, 16, 1, 3
2017/5/1, 62, 6, 43, 9, 3, 3
2017/5/2, 38, 6, 43, 10, 1, 2
2017/5/3, 34, 8, 43, 7, 1, 2
2017/5/4, 32, 12, 45, 9, 2, 3
2017/5/5, 50, 13, 37, 7, 1, 2
2017/5/6, 43, 21, 43, 8, 2, 2
2017/5/7, 49, 36, 42, 27, 5, 3
2017/5/8, 84, 19, 39, 17, 3, 2
2017/5/9, 50, 18, 22, 21, 3, 2
2017/5/10, 51, 13, 41, 21, 3, 3
2017/5/11, 46, 24, 53, 16, 1, 3
2017/5/12, 65, 27, 42, 12, 1, 3
2017/5/13, 59, 3, 35, 2, , 2
2017/5/14, 16, 11, 31, 14, 2, 2
2017/5/15, 38, 17, 39, 14, 4, 3
2017/5/16, 48, 12, 31, 9, 2, 2
2017/5/17, 35, 13, 36, 14, , 2
2017/5/18, 37, 25, 61, 25, 3, 3
2017/5/19, 62, 28, 75, 20, 3, 4
2017/5/20, 72, 29, 85, 14, 4, 4
2017/5/21, 81, 20, 39, 18, 3, 2
2017/5/22, 62, 11, 34, 12, 1, 2
2017/5/23, 50, 9, 31, 13, 1, 2
2017/5/24, 32, 11, 31, 12, , 2
2017/5/25, 28, 14, 22, 16, , 2
2017/5/26, 38, 18, 36, 13, 1, 2
2017/5/27, 66, 12, 57, 7, 1, 3
2017/5/28, 35, 19, 39, 18, 3, 3
2017/5/29, 63, 22, 48, 21, 4, 4
2017/5/30, 53, 32, 40, 14, 1, 2
2017/5/31, 71, 13, 28, 18, 2, 2
2017/6/1, 31, 15, 49, 14, 2, 2
2017/6/2, 61, 7, 44, 7, 2, 2
2017/6/3, 40, 6, 38, 2, 1, 1
2017/6/4, 44, 9, 36, 12, 2, 2
2017/6/5, 41, 10, 32, 13, 3, 2
2017/6/6, 29, 10, 28, 14, 1, 2
2017/6/7, 32, 6, 32, 11, 1, 1
2017/6/8, 29, 11, 38, 13, 2, 2
2017/6/9, 40, 17, 58, 12, 1, 3
2017/6/10, 49, 11, 40, 5, 1, 2
2017/6/11, 25, 9, 38, 10, 2, 1
2017/6/12, 35, 9, 23, 12, 1, 
2017/6/13, 28, 11, 34, 13, 4, 2
2017/6/14, 34, 15, 40, 17, 2, 2
2017/6/15, 43, 22, 58, 18, 3, 3
2017/6/16, 56, 8, 39, 8, 1, 1
2017/6/17, 37, 11, 34, 4, , 1
2017/6/18, 27, 12, 48, 9, 3, 2
2017/6/19, 47, 30, 42, 18, 3, 3
2017/6/20, 65, 20, 31, 12, 1, 1
2017/6/21, 41, 11, 48, 12, 2, 2
2017/6/22, 34, 21, 80, 20, 2, 3
2017/6/23, 65, 15, 39, 14, 2, 3
2017/6/24, 45, 18, 23, 10, 2, 2
2017/6/25, 39, 16, 28, 18, 5, 2
2017/6/26, 44, 23, 29, 17, 2, 3
2017/6/27, 56, 28, 32, 25, 3, 4
2017/6/28, 60, , 45, 22, 5, 4
2017/6/30, 38, 14, 29, 14, , 2
2017/1/2, 45, 11, 34, 13, 2, 4
2017/1/3, 40, 12, 33, 12, 2, 4
2017/1/4, 52, 6, 31, 6, 1, 2
2017/1/5, 25, 5, 26, 14, , 3
2017/1/6, 24, 15, 15, 32, 1, 5
2017/1/7, 44, 17, 20, 20, , 5
2017/1/8, 55, 4, 27, 11, , 3
2017/1/9, 19, 7, 24, 23, 3, 4
2017/1/10, 32, 5, 22, 18, 3, 3
2017/1/11, 29, 7, 21, 26, 1, 4
2017/1/12, 25, 8, 20, 30, 2, 4
2017/1/13, 45, 4, 22, 16, , 3
2017/1/14, 17, 3, 26, 8, 3, 2
2017/1/15, 18, 4, 24, 22, 2, 4
2017/1/16, 25, 5, 23, 18, 3, 3
2017/1/17, 22, 7, 14, 30, 3, 4
2017/1/18, 29, 10, 28, 18, 1, 4
2017/1/19, 28, 21, 20, 26, , 4
2017/1/20, 81, 11, 31, 11, 2, 3
2017/1/21, 33, 18, 27, 20, 2, 4
2017/1/22, 59, 6, 29, 9, 5, 3
2017/1/23, 19, 5, 28, 14, 2, 3
2017/1/24, 22, 4, 29, 13, 5, 2
2017/1/25, 22, 9, 22, 29, 4, 4
2017/1/26, 35, 13, 25, 34, 1, 5
2017/1/27, 48, 9, 25, 20, 4, 4
2017/1/28, 34, 15, 26, 18, 1, 4
2017/1/29, 47, 18, 29, 23, , 5
2017/1/30, 66, 4, 29, 8, , 2
2017/1/31, 21, 8, 26, 18, , 3
2017/2/1, 31, 4, 30, 9, 3, 2
2017/2/2, 25, 5, 30, 15, 3, 3
2017/2/3, 33, 8, 31, 18, 3, 4
2017/2/4, 33, 14, 23, 22, 2, 4
2017/2/5, 46, 12, 35, 14, 2, 4
2017/2/6, 39, 6, 32, 7, 3, 2
2017/2/7, 25, 4, 31, 8, 2, 2
2017/2/8, 22, 11, 19, 21, , 4
2017/2/9, 35, 9, 30, 12, 2, 3
2017/2/10, 34, 4, 30, 11, 1, 3
2017/2/11, 25, 4, 31, 7, 2, 2
2017/2/12, 22, 3, 30, 11, 2, 2
2017/2/13, 24, 4, 31, 10, 5, 2
2017/2/14, 22, 7, 30, 16, 4, 3
2017/2/15, 26, 14, 25, 29, 3, 4
2017/2/16, 52, 15, 31, 28, , 5
2017/2/17, 57, 6, 32, 11, , 2
2017/2/18, 24, 6, 34, 9, 4, 3
2017/2/19, 28, 14, 34, 19, 2, 3
2017/2/20, 47, 4, 33, 7, 2, 2
2017/2/21, 21, 7, 29, 21, 3, 3
2017/2/22, 32, 13, 31, 19, , 3
2017/2/23, 41, 6, 34, 7, 2, 2
2017/2/24, 21, 9, 27, 19, 4, 3
2017/2/25, 33, 9, 35, 15, 4, 4
2017/2/26, 37, 7, 33, 11, 1, 2
2017/2/27, 27, 9, 32, 11, , 3
2017/2/28, 31, 14, 28, 22, 4, 4
2017/3/1, 46, 27, 17, 22, , 4
2017/3/2, 57, 10, 35, 17, 3, 4
2017/3/3, 38, 12, 28, 24, 4, 4
2017/3/4, 43, 22, 40, 18, 3, 4
2017/3/5, 61, 32, 26, 30, 1, 5
2017/3/6, 67, 8, 32, 14, 3, 3
2017/3/7, 32, 12, 24, 22, 2, 4
2017/3/8, 32, 11, 25, 24, 3, 4
2017/3/9, 31, 10, 37, 15, 2, 4
2017/3/10, 32, 8, 37, 9, 2, 3
2017/3/11, 32, 9, 36, 10, 3, 3
2017/3/12, 35, 15, 26, 18, 1, 3
2017/3/13, 47, 13, 26, 13, , 2
2017/3/14, 39, 7, 31, 10, , 2
2017/3/15, 22, 10, 32, 21, 3, 3
2017/3/16, 37, 8, 39, 9, 1, 2
2017/3/17, 28, 13, 37, 20, 3, 3
2017/3/18, 44, 37, 65, 14, 4, 4
2017/3/19, 90, 31, 50, 11, 3, 4
2017/3/20, 79, 13, 38, 17, 2, 3
2017/3/21, 41, 12, 40, 6, , 2
2017/3/22, 39, 15, 34, 18, 3, 3
2017/3/23, 52, 9, 36, 8, 2, 2
2017/3/24, 43, 11, 35, 12, 2, 3
2017/3/25, 40, 9, 27, 8, 1, 2
2017/3/26, 33, 4, 30, 10, , 2
2017/3/27, 15, 13, 35, 19, 2, 3
2017/3/28, 39, 20, 31, 24, 3, 4
2017/3/29, 59, 32, 36, 37, 7, 5
2017/3/30, 71, 15, 41, 14, 1, 3
2017/3/31, 53, 9, 33, 8, , 2
2016/10/1, 32, 22, 60, 13, 6, 4
2016/10/2, 66, 26, 10, 19, 4, 3
2016/10/3, 68, 11, 30, 13, 4, 3
2016/10/4, 54, 19, 25, 16, 2, 3
2016/10/5, 42, 8, 30, 8, , 2
2016/10/6, 39, 11, 28, 12, 3, 2
2016/10/7, 51, 18, 16, 21, 2, 4
2016/10/8, 50, 8, 27, 5, , 2
2016/10/9, 27, 5, 25, 6, , 2
2016/10/10, 23, 7, 23, 9, , 2
2016/10/11, 25, 11, 25, 21, 4, 3
2016/10/12, 55, 9, 23, 11, 1, 2
2016/10/13, 24, 11, 25, 16, , 3
2016/10/14, 50, 16, 34, 21, 2, 4
2016/10/15, 75, 18, 36, 15, 1, 4
2016/10/16, 67, 20, 9, 29, 1, 5
2016/10/17, 60, 13, 22, 16, 1, 3
2016/10/18, 57, 13, 26, 14, 2, 3
2016/10/19, 36, 17, 36, 12, 1, 3
2016/10/20, 45, 15, 32, 18, 5, 3
2016/10/21, 45, 20, 19, 18, 2, 3
2016/10/22, 56, 18, 33, 8, , 2
2016/10/23, 76, 8, 25, 16, 3, 3
2016/10/24, 52, 15, 13, 27, 2, 4
2016/10/25, 48, 27, 11, 38, 5, 5
2016/10/26, 76, 11, 31, 10, 1, 3
2016/10/27, 45, 17, 12, 23, , 3
2016/10/28, 48, 7, 27, 12, , 3
2016/10/29, 41, 10, 24, 6, , 2
2016/10/30, 36, 20, 12, 25, , 4
2016/10/31, 64, 17, 13, 25, 2, 4
2016/11/1, 53, 5, 19, 14, , 3
2016/11/2, 29, 8, 31, 10, , 2
2016/11/3, 48, 7, 29, 14, 3, 3
2016/11/4, 38, 18, 24, 26, 3, 4
2016/11/5, 64, 17, 32, 10, , 3
2016/11/6, 66, 11, 28, 9, , 2
2016/11/7, 41, 26, 7, 32, , 4
2016/11/8, 70, 8, 30, 8, , 2
2016/11/9, 38, 6, 28, 14, , 3
2016/11/10, 30, 10, 11, 20, , 3
2016/11/11, 36, 9, 19, 18, , 3
2016/11/12, 40, 23, 17, 24, 4, 6
2016/11/13, 65, 27, 9, 26, 1, 5
2016/11/14, 70, 17, 20, 18, , 3
2016/11/15, 57, 6, 27, 9, , 3
2016/11/16, 25, 9, 21, 17, , 3
2016/11/17, 26, 14, 19, 25, 4, 4
2016/11/18, 44, 20, 7, 24, , 4
2016/11/19, 56, 24, 10, 25, 3, 7
2016/11/20, 64, 19, 19, 19, , 4
2016/11/21, 47, 23, 14, 28, 3, 6
2016/11/22, 62, 7, 23, 11, 1, 3
2016/11/23, 26, 4, 21, 17, , 3
2016/11/24, 35, 10, 6, 29, 3, 4
2016/11/25, 37, 9, 16, 21, , 4
2016/11/26, 40, 11, 14, 16, , 4
2016/11/27, 40, 6, 26, 11, , 3
2016/11/28, 23, 5, 26, 8, 2, 2
2016/11/29, 29, 9, 22, 17, , 3
2016/11/30, 40, 21, 12, 28, 1, 5
2016/12/1, 60, 10, 26, 13, , 3
2016/12/2, 36, 11, 19, 24, , 4
2016/12/3, 36, 23, 18, 24, 3, 5
2016/12/4, 66, 22, 18, 26, 2, 5
2016/12/5, 60, 13, 26, 18, 1, 4
2016/12/6, 44, 9, 22, 19, , 4
2016/12/7, 31, 10, 22, 21, 2, 3
2016/12/8, 50, 13, 26, 27, 2, 4
2016/12/9, 51, 6, 26, 9, 1, 3
2016/12/10, 26, 5, 27, 5, , 2
2016/12/11, 24, 4, 20, 13, 3, 4
2016/12/12, 38, , 5, , 1, 6
2016/12/13, 80, 3, , , , 3
2016/12/14, 32, 4, , 21, , 3
2016/12/15, 25, 7, 49, 19, , 3
2016/12/16, 23, 1, 37, 30, 4, 5
2016/12/17, 45, , 38, 26, 1, 5
2016/12/19, 67, 31, 8, 46, 6, 7
2016/12/20, 75, 31, 6, 48, 5, 8
2016/12/21, 76, 28, 23, 32, 2, 7
2016/12/22, 66, 9, 25, 9, , 4
2016/12/23, 27, 4, 25, 9, 2, 2
2016/12/24, 16, 6, 20, 19, 1, 4
2016/12/25, 31, 14, 4, 33, , 6
2016/12/26, 52, 11, 25, 21, , 4
2016/12/27, 46, 5, 27, 7, , 2
2016/12/28, 28, 11, 17, 22, , 5
2016/12/29, 33, 4, 27, 5, 2, 2
2016/12/30, 24, 6, 23, 14, 2, 4
2016/12/31, 29, , , , , 
2016/7/1, 92, 40, 31, 14, 2, 3
2016/7/2, 87, 22, 24, 10, 7, 3
2016/7/3, 51, 26, 44, 16, 3, 3
2016/7/4, 71, 11, 23, 7, 3, 2
2016/7/5, 23, 19, 15, 23, 4, 4
2016/7/6, 49, 26, 47, 22, 3, 4
2016/7/7, 62, 24, 29, 21, 4, 3
2016/7/8, 59, 20, 22, 12, 3, 3
2016/7/9, 47, 12, 31, 12, 4, 3
2016/7/10, 51, 21, 53, 24, 4, 4
2016/7/11, 66, 29, 44, 17, 4, 4
2016/7/12, 64, 48, 16, 31, 4, 4
2016/7/13, 85, 40, 59, 21, 2, 4
2016/7/14, 109, 13, 17, , , 2
2016/7/15, 28, 18, 25, , 4, 4
2016/7/16, 47, 32, 25, , 2, 3
2016/7/17, 63, 32, 40, , 3, 3
2016/7/18, 70, 19, 45, , 3, 3
2016/7/19, 57, 14, 33, , 2, 3
2016/7/20, 42, 10, 16, 11, 1, 2
2016/7/21, 21, 7, 13, 9, , 2
2016/7/22, 19, 8, 24, 7, , 1
2016/7/23, 32, 9, 27, 5, 1, 1
2016/7/24, 49, 15, 24, 15, 7, 2
2016/7/25, 47, 18, 14, 23, 9, 3
2016/7/26, 48, 10, 15, 17, 1, 2
2016/7/27, 33, 11, 14, 17, 3, 2
2016/7/28, 30, 9, 23, 17, 4, 2
2016/7/29, 78, 10, 31, 15, 3, 3
2016/7/30, 77, 10, 14, 4, 1, 1
2016/7/31, 47, 9, 12, 7, 2, 2
2016/8/1, 37, 14, 8, 15, 3, 3
2016/8/2, 38, 11, 17, 15, 2, 3
2016/8/3, 66, 12, 27, 14, 2, 3
2016/8/4, 41, 17, 34, 14, 2, 2
2016/8/5, 62, 16, 31, 14, 4, 2
2016/8/6, 65, 12, 17, 6, 2, 1
2016/8/7, 78, 8, 20, 5, , 1
2016/8/8, 44, 13, 37, 12, , 2
2016/8/9, 75, 21, 43, 11, 2, 2
2016/8/10, 69, 14, 37, 7, 2, 3
2016/8/11, 47, 17, 38, 10, 3, 2
2016/8/12, 39, 16, 56, 10, 3, 3
2016/8/13, 59, 13, 43, 5, 3, 2
2016/8/14, 47, 17, 30, 12, 4, 3
2016/8/15, 43, 14, 16, 6, 2, 2
2016/8/16, 52, 25, 35, 8, 2, 2
2016/8/17, 61, 26, 13, 17, 3, 3
2016/8/18, 45, 11, 11, 7, 1, 2
2016/8/19, 41, 11, 5, 7, 2, 2
2016/8/20, 35, 12, 10, 7, 2, 2
2016/8/21, 58, 17, 16, 8, 1, 2
2016/8/22, 29, 19, 16, 17, 1, 3
2016/8/23, 52, 11, 19, 15, 2, 2
2016/8/24, 41, 15, 11, 16, 4, 3
2016/8/25, 40, 14, 16, 14, 3, 3
2016/8/26, 85, 13, 19, 9, 2, 2
2016/8/27, 20, 10, 19, 5, , 
2016/8/28, 31, 10, 11, 7, , 
2016/8/29, 40, 10, 25, 8, , 2
2016/8/30, 29, 17, 37, 12, , 2
2016/8/31, 56, 20, 32, 15, 2, 2
2016/9/1, 23, 30, 49, 15, 2, 3
2016/9/2, 61, 18, 25, 6, , 2
2016/9/3, 57, 16, 27, 8, 2, 2
2016/9/4, 60, 17, 16, 15, 2, 3
2016/9/5, 57, 13, 18, 11, 1, 2
2016/9/6, 53, 11, 23, 11, , 2
2016/9/7, 44, 17, 10, 11, , 2
2016/9/8, 27, 14, 39, 15, 4, 3
2016/9/9, 49, 15, 41, 9, 2, 3
2016/9/10, 54, 11, 34, 7, 2, 3
2016/9/11, 34, 14, 30, 8, , 2
2016/9/12, 43, 9, 16, 14, , 2
2016/9/13, 24, 9, 14, 21, 3, 4
2016/9/14, 38, 20, 14, 20, 2, 3
2016/9/15, 51, 15, 12, 16, , 3
2016/9/16, 32, 26, 36, 23, 4, 4
2016/9/17, 62, 17, 15, 8, 1, 3
2016/9/18, 41, 8, 19, 6, , 2
2016/9/19, 16, 4, 22, 10, , 2
2016/9/20, 11, 8, 21, 9, , 
2016/9/21, 27, 6, 17, 9, , 1
2016/9/22, 21, 12, 4, 24, , 4
2016/9/23, 34, 20, 6, 23, , 4
2016/9/24, 44, 21, 35, 16, 4, 4
2016/9/25, 56, 29, 40, 19, 2, 4
2016/9/26, 62, 32, 14, 20, 2, 3
2016/9/27, 66, 24, 24, 14, , 3
2016/9/28, 52, 22, 13, 14, , 3
2016/9/29, 59, 9, 23, 14, 4, 2
2016/9/30, 38, 14, 20, 12, 1, 2
2016/4/1, 63, 19, 39, 18, 2, 3
2016/4/2, 53, 14, 33, 11, , 4
2016/4/3, 55, 21, 31, 14, 2, 4
2016/4/4, 45, 9, 27, 18, 2, 3
2016/4/5, 30, 18, 33, 27, 4, 4
2016/4/6, 56, 14, 20, 28, 2, 4
2016/4/7, 46, 8, 30, 22, 3, 3
2016/4/8, 36, 18, 41, 17, 2, 3
2016/4/9, 53, 19, 51, 15, 2, 4
2016/4/10, 61, 14, 37, 7, 1, 2
2016/4/11, 46, 15, 35, 14, 2, 3
2016/4/12, 58, 17, 30, 22, 1, 4
2016/4/13, 56, 9, 19, 17, 1, 3
2016/4/14, 36, 8, 39, 10, 1, 3
2016/4/15, 47, 11, 46, 15, 2, 3
2016/4/16, 46, 14, 43, 4, , 2
2016/4/17, 46, 19, 42, 16, 1, 3
2016/4/18, 58, 17, 42, 17, 3, 3
2016/4/19, 60, 13, 38, 14, 2, 3
2016/4/20, 46, 14, 37, 17, 1, 3
2016/4/21, 46, 14, 36, 14, 1, 3
2016/4/22, 50, 12, 37, 13, 2, 3
2016/4/23, 44, 20, 40, 7, , 3
2016/4/24, 62, 18, 36, 16, 2, 3
2016/4/25, 64, 17, 37, 23, 3, 3
2016/4/26, 60, 20, 27, 20, 3, 3
2016/4/27, 55, 11, 26, 11, 1, 2
2016/4/28, 29, 6, 40, 4, , 2
2016/4/29, 29, 13, 41, 11, 2, 3
2016/4/30, 51, 24, 53, 22, 5, 4
2016/5/1, 75, 24, 38, 14, 2, 3
2016/5/2, 71, 25, 44, 12, 3, 4
2016/5/3, 71, 14, 47, 5, , 2
2016/5/4, 49, 17, 63, 7, 3, 3
2016/5/5, 67, 13, 40, 15, 1, 2
2016/5/6, 40, 11, 46, 11, 1, 3
2016/5/7, 43, 24, 50, 5, 1, 2
2016/5/8, 79, 27, 33, 18, 3, 3
2016/5/9, 68, 9, 25, 20, 2, 3
2016/5/10, 39, 8, 27, 11, 1, 2
2016/5/11, 32, 10, 40, 16, 3, 3
2016/5/12, 57, 12, 38, 22, 3, 3
2016/5/13, 52, 17, 44, 14, 1, 3
2016/5/14, 62, 13, 49, 5, 1, 3
2016/5/15, 49, 18, 35, 17, 3, 2
2016/5/16, 57, 10, 29, 13, , 3
2016/5/17, 31, 9, 44, 11, 2, 2
2016/5/18, 36, 12, 42, 13, 1, 3
2016/5/19, 58, 7, 30, 7, , 
2016/5/20, 26, 7, 36, 9, , 2
